service_date,day_type,bus,rail_boardings,total_rides,peak_offpeak,load_factor
2001-05-09,W,1041324,619928,1661252,peak,16612.52
2001-05-10,W,1018705,614067,1632772,peak,16327.72
2001-05-11,W,1004068,600295,1604363,peak,16043.63
2001-05-12,A,649008,289167,938175,offpeak,9381.75
2001-05-13,U,422270,200996,623266,offpeak,6232.66
2001-05-14,W,963027,581644,1544671,peak,15446.71
2001-05-15,W,1035512,633053,1668565,peak,16685.65
2001-05-16,W,995884,627978,1623862,peak,16238.62
2001-05-17,W,1006118,628882,1635000,peak,16350.0
2001-05-18,W,1027834,628829,1656663,peak,16566.63
2001-05-19,A,645603,315487,961090,offpeak,9610.9
2001-05-20,U,427040,217899,644939,offpeak,6449.39
2001-05-21,W,958236,590204,1548440,peak,15484.4
2001-05-22,W,1019568,637152,1656720,peak,16567.2
2001-05-23,W,978614,619656,1598270,peak,15982.7
2001-05-24,W,973423,615727,1589150,peak,15891.5
2001-05-25,W,988982,597892,1586874,peak,15868.74
2001-05-26,A,512958,269276,782234,offpeak,7822.34
2001-05-27,U,390535,208208,598743,offpeak,5987.43
2001-05-28,U,392906,191639,584545,offpeak,5845.45
2001-05-29,W,1003029,595375,1598404,peak,15984.04
2001-05-30,W,1002940,607442,1610382,peak,16103.82
2001-05-31,W,965359,602748,1568107,peak,15681.07
2001-06-01,W,1057056,611631,1668687,peak,16686.87
2001-06-02,A,618944,282212,901156,offpeak,9011.56
2001-06-03,U,432408,204795,637203,offpeak,6372.03
2001-06-04,W,1029447,599699,1629146,peak,16291.46
2001-06-05,W,935443,606051,1541494,peak,15414.94
2001-06-06,W,1004243,627572,1631815,peak,16318.15
2001-06-07,W,1004748,646177,1650925,peak,16509.25
2001-06-08,W,1012502,642049,1654551,peak,16545.51
2001-06-09,A,639444,358013,997457,offpeak,9974.57
2001-06-10,U,438393,242257,680650,offpeak,6806.5
2001-06-11,W,910186,586260,1496446,peak,14964.46
2001-06-12,W,946314,605737,1552051,peak,15520.51
2001-06-13,W,911372,599114,1510486,peak,15104.86
2001-06-14,W,891710,602538,1494248,peak,14942.48
2001-06-15,W,912712,612983,1525695,peak,15256.95
2001-06-16,A,675335,340782,1016117,offpeak,10161.17
2001-06-17,U,422714,237483,660197,offpeak,6601.97
2001-06-18,W,909937,590688,1500625,peak,15006.25
2001-06-19,W,944122,613028,1557150,peak,15571.5
2001-06-20,W,939471,612707,1552178,peak,15521.78
2001-06-21,W,900375,596076,1496451,peak,14964.51
2001-06-22,W,957514,626565,1584079,peak,15840.79
2001-06-23,A,631716,328467,960183,offpeak,9601.83
2001-06-24,U,443240,281620,724860,offpeak,7248.6
2001-06-25,W,947130,621006,1568136,peak,15681.36
2001-06-26,W,944301,635326,1579627,peak,15796.27
2001-06-27,W,944274,634994,1579268,peak,15792.68
2001-06-28,W,942731,611002,1553733,peak,15537.33
2001-06-29,W,996694,666587,1663281,peak,16632.81
2001-06-30,A,649995,363078,1013073,offpeak,10130.73
2001-07-01,U,435317,271052,706369,offpeak,7063.69
2001-07-02,W,958879,627767,1586646,peak,15866.46
2001-07-03,W,990209,827670,1817879,peak,18178.79
2001-07-04,U,461383,306172,767555,offpeak,7675.55
2001-07-05,W,918500,606574,1525074,peak,15250.74
2001-07-06,W,958011,643965,1601976,peak,16019.76
2001-07-07,A,599172,347374,946546,offpeak,9465.46
2001-07-08,U,439513,256208,695721,offpeak,6957.21
2001-07-09,W,935542,597633,1533175,peak,15331.75
2001-07-10,W,937066,610069,1547135,peak,15471.35
2001-07-11,W,960775,614294,1575069,peak,15750.69
2001-07-12,W,949551,636236,1585787,peak,15857.87
2001-07-13,W,957097,641244,1598341,peak,15983.41
2001-07-14,A,629660,333365,963025,offpeak,9630.25
2001-07-15,U,420137,241827,661964,offpeak,6619.64
2001-07-16,W,880246,623660,1503906,peak,15039.06
2001-07-17,W,920250,625940,1546190,peak,15461.9
2001-07-18,W,935427,612765,1548192,peak,15481.92
2001-07-19,W,949691,618451,1568142,peak,15681.42
2001-07-20,W,937942,610617,1548559,peak,15485.59
2001-07-21,A,593545,305457,899002,offpeak,8990.02
2001-07-22,U,379766,200473,580239,offpeak,5802.39
2001-07-23,W,854318,574685,1429003,peak,14290.03
2001-07-24,W,939133,630753,1569886,peak,15698.86
2001-07-25,W,874776,612547,1487323,peak,14873.23
2001-07-26,W,954848,636674,1591522,peak,15915.22
2001-07-27,W,933625,634484,1568109,peak,15681.09
2001-07-28,A,607195,357848,965043,offpeak,9650.43
2001-07-29,U,432534,236416,668950,offpeak,6689.5
2001-07-30,W,908372,586076,1494448,peak,14944.48
2001-07-31,W,884617,596502,1481119,peak,14811.19
2001-08-01,W,873553,612734,1486287,peak,14862.87
2001-08-02,W,790639,549367,1340006,peak,13400.06
2001-08-03,W,984483,603405,1587888,peak,15878.88
2001-08-04,A,648406,319386,967792,offpeak,9677.92
2001-08-05,U,453344,225172,678516,offpeak,6785.16
2001-08-06,W,907499,585919,1493418,peak,14934.18
2001-08-07,W,875431,610601,1486032,peak,14860.32
2001-08-08,W,854367,596163,1450530,peak,14505.3
2001-08-09,W,846305,602242,1448547,peak,14485.47
2001-08-10,W,946431,626136,1572567,peak,15725.67
2001-08-11,A,607614,323141,930755,offpeak,9307.55
2001-08-12,U,420182,234020,654202,offpeak,6542.02
2001-08-13,W,892382,571719,1464101,peak,14641.01
2001-08-14,W,866757,598019,1464776,peak,14647.76
2001-08-15,W,878793,584203,1462996,peak,14629.96
2001-08-16,W,800887,581402,1382289,peak,13822.89
2001-08-17,W,929083,598538,1527621,peak,15276.21
2001-08-18,A,569201,296970,866171,offpeak,8661.71
2001-08-19,U,439920,235842,675762,offpeak,6757.62
2001-08-20,W,876831,606101,1482932,peak,14829.32
2001-08-21,W,894995,608242,1503237,peak,15032.37
2001-08-22,W,864392,599157,1463549,peak,14635.49
2001-08-23,W,906026,612615,1518641,peak,15186.41
2001-08-24,W,926014,619276,1545290,peak,15452.9
2001-08-25,A,518211,290626,808837,offpeak,8088.37
2001-08-26,U,439715,245014,684729,offpeak,6847.29
2001-08-27,W,900370,590849,1491219,peak,14912.19
2001-08-28,W,933626,628532,1562158,peak,15621.58
2001-08-29,W,901782,625324,1527106,peak,15271.06
2001-08-30,W,913200,617044,1530244,peak,15302.44
2001-08-31,W,986749,616977,1603726,peak,16037.26
2001-09-01,A,639977,319699,959676,offpeak,9596.76
2001-09-02,U,470771,243520,714291,offpeak,7142.91
2001-09-03,U,448248,213584,661832,offpeak,6618.32
2001-09-04,W,1120482,625640,1746122,peak,17461.22
2001-09-05,W,1047878,644950,1692828,peak,16928.28
2001-09-06,W,1053246,644766,1698012,peak,16980.12
2001-09-07,W,1070339,659824,1730163,peak,17301.63
2001-09-08,A,645427,341332,986759,offpeak,9867.59
2001-09-09,U,492026,215773,707799,offpeak,7077.99
2001-09-10,W,1075781,661092,1736873,peak,17368.73
2001-09-11,W,957593,525953,1483546,peak,14835.46
2001-09-12,W,931165,588507,1519672,peak,15196.72
2001-09-13,W,1010171,607718,1617889,peak,16178.89
2001-09-14,W,1034666,613645,1648311,peak,16483.11
2001-09-15,A,615097,277875,892972,offpeak,8929.72
2001-09-16,U,417392,191270,608662,offpeak,6086.62
2001-09-17,W,919985,609381,1529366,peak,15293.66
2001-09-18,W,1039365,626518,1665883,peak,16658.83
2001-09-19,W,939442,625612,1565054,peak,15650.54
2001-09-20,W,973094,646112,1619206,peak,16192.06
2001-09-21,W,967583,626032,1593615,peak,15936.15
2001-09-22,A,641096,307331,948427,offpeak,9484.27
2001-09-23,U,361048,190813,551861,offpeak,5518.61
2001-09-24,W,940207,622061,1562268,peak,15622.68
2001-09-25,W,968563,638815,1607378,peak,16073.78
2001-09-26,W,1028542,639258,1667800,peak,16678.0
2001-09-27,W,1024125,642860,1666985,peak,16669.85
2001-09-28,W,1024142,645884,1670026,peak,16700.26
2001-09-29,A,639464,330008,969472,offpeak,9694.72
2001-09-30,U,412037,219852,631889,offpeak,6318.89
2001-10-01,W,1069361,639795,1709156,peak,17091.56
2001-10-02,W,1078342,658020,1736362,peak,17363.62
2001-10-03,W,1018388,657170,1675558,peak,16755.58
2001-10-04,W,902598,649681,1552279,peak,15522.79
2001-10-05,W,1034680,651273,1685953,peak,16859.53
2001-10-06,A,628587,326860,955447,offpeak,9554.47
2001-10-07,U,404926,287483,692409,offpeak,6924.09
2001-10-08,W,802729,531294,1334023,peak,13340.23
2001-10-09,W,1055377,645072,1700449,peak,17004.49
2001-10-10,W,898767,637568,1536335,peak,15363.35
2001-10-11,W,1025128,647937,1673065,peak,16730.65
2001-10-12,W,1000153,625089,1625242,peak,16252.42
2001-10-13,A,515481,273528,789009,offpeak,7890.09
2001-10-14,U,409065,209437,618502,offpeak,6185.02
2001-10-15,W,1037513,627937,1665450,peak,16654.5
2001-10-16,W,1022047,634396,1656443,peak,16564.43
2001-10-17,W,1036702,641266,1677968,peak,16779.68
2001-10-18,W,1017434,646140,1663574,peak,16635.74
2001-10-19,W,956423,642121,1598544,peak,15985.44
2001-10-20,A,632093,319399,951492,offpeak,9514.92
2001-10-21,U,433014,213638,646652,offpeak,6466.52
2001-10-22,W,1012782,621894,1634676,peak,16346.76
2001-10-23,W,1000304,638393,1638697,peak,16386.97
2001-10-24,W,867027,625218,1492245,peak,14922.45
2001-10-25,W,947047,618401,1565448,peak,15654.48
2001-10-26,W,981933,613047,1594980,peak,15949.8
2001-10-27,A,582223,291912,874135,offpeak,8741.35
2001-10-28,U,405374,208481,613855,offpeak,6138.55
2001-10-29,W,1019942,623086,1643028,peak,16430.28
2001-10-30,W,994503,629005,1623508,peak,16235.08
2001-10-31,W,978585,628587,1607172,peak,16071.72
2001-11-01,W,1029256,641642,1670898,peak,16708.98
2001-11-02,W,1042714,645966,1688680,peak,16886.8
2001-11-03,A,648350,315004,963354,offpeak,9633.54
2001-11-04,U,443453,222988,666441,offpeak,6664.41
2001-11-05,W,1057697,629864,1687561,peak,16875.61
2001-11-06,W,1044478,638448,1682926,peak,16829.26
2001-11-07,W,1033982,640396,1674378,peak,16743.78
2001-11-08,W,1004574,636400,1640974,peak,16409.74
2001-11-09,W,931849,620257,1552106,peak,15521.06
2001-11-10,A,618184,322793,940977,offpeak,9409.77
2001-11-11,U,416118,218931,635049,offpeak,6350.49
2001-11-12,W,812747,527242,1339989,peak,13399.89
2001-11-13,W,1026715,641101,1667816,peak,16678.16
2001-11-14,W,994462,624162,1618624,peak,16186.24
2001-11-15,W,983434,615519,1598953,peak,15989.53
2001-11-16,W,1046467,623566,1670033,peak,16700.33
2001-11-17,A,653210,354828,1008038,offpeak,10080.38
2001-11-18,U,414683,201199,615882,offpeak,6158.82
2001-11-19,W,999890,600948,1600838,peak,16008.38
2001-11-20,W,1005581,612391,1617972,peak,16179.72
2001-11-21,W,988420,589664,1578084,peak,15780.84
2001-11-22,U,322788,151915,474703,offpeak,4747.03
2001-11-23,W,641780,356646,998426,peak,9984.26
2001-11-24,A,504548,253414,757962,offpeak,7579.62
2001-11-25,U,373755,186416,560171,offpeak,5601.71
2001-11-26,W,993754,600439,1594193,peak,15941.93
2001-11-27,W,985583,613858,1599441,peak,15994.41
2001-11-28,W,981842,614405,1596247,peak,15962.47
2001-11-29,W,972155,613392,1585547,peak,15855.47
2001-11-30,W,1039082,625037,1664119,peak,16641.19
2001-12-01,A,640965,307646,948611,offpeak,9486.11
2001-12-02,U,418878,210748,629626,offpeak,6296.26
2001-12-03,W,1051222,599106,1650328,peak,16503.28
2001-12-04,W,1049416,613294,1662710,peak,16627.1
2001-12-05,W,1039940,622264,1662204,peak,16622.04
2001-12-06,W,1020021,623428,1643449,peak,16434.49
2001-12-07,W,1023743,618300,1642043,peak,16420.43
2001-12-08,A,620074,315639,935713,offpeak,9357.13
2001-12-09,U,406917,207697,614614,offpeak,6146.14
2001-12-10,W,1005376,597416,1602792,peak,16027.92
2001-12-11,W,1010462,614387,1624849,peak,16248.49
2001-12-12,W,981259,609660,1590919,peak,15909.19
2001-12-13,W,990166,610845,1601011,peak,16010.11
2001-12-14,W,982986,600798,1583784,peak,15837.84
2001-12-15,A,623138,319051,942189,offpeak,9421.89
2001-12-16,U,407448,213347,620795,offpeak,6207.95
2001-12-17,W,995060,593314,1588374,peak,15883.74
2001-12-18,W,1014592,608735,1623327,peak,16233.27
2001-12-19,W,958790,591815,1550605,peak,15506.05
2001-12-20,W,987827,586572,1574399,peak,15743.99
2001-12-21,W,994499,569456,1563955,peak,15639.55
2001-12-22,A,586969,268254,855223,offpeak,8552.23
2001-12-23,U,393359,184628,577987,offpeak,5779.87
2001-12-24,W,525908,257022,782930,peak,7829.3
2001-12-25,U,218872,93525,312397,offpeak,3123.97
2001-12-26,W,619967,380064,1000031,peak,10000.31
2001-12-27,W,690465,436814,1127279,peak,11272.79
2001-12-28,W,739404,456879,1196283,peak,11962.83
2001-12-29,A,473194,224772,697966,offpeak,6979.66
2001-12-30,U,306871,160102,466973,offpeak,4669.73
2001-12-31,W,650794,321388,972182,peak,9721.82
2002-01-01,U,294360,122471,416831,offpeak,4168.31
2002-01-02,W,766853,491630,1258483,peak,12584.83
2002-01-03,W,838088,523292,1361380,peak,13613.8
2002-01-04,W,858709,528849,1387558,peak,13875.58
2002-01-05,A,542470,245820,788290,offpeak,7882.9
2002-01-06,U,370508,177606,548114,offpeak,5481.14
2002-01-07,W,953807,568929,1522736,peak,15227.36
2002-01-08,W,973200,585667,1558867,peak,15588.67
2002-01-09,W,985622,591671,1577293,peak,15772.93
2002-01-10,W,974188,591742,1565930,peak,15659.3
2002-01-11,W,1006535,591718,1598253,peak,15982.53
2002-01-12,A,565955,266826,832781,offpeak,8327.81
2002-01-13,U,371378,176272,547650,offpeak,5476.5
2002-01-14,W,985931,593642,1579573,peak,15795.73
2002-01-15,W,983090,601489,1584579,peak,15845.79
2002-01-16,W,955758,608009,1563767,peak,15637.67
2002-01-17,W,968715,598282,1566997,peak,15669.97
2002-01-18,W,967930,581331,1549261,peak,15492.61
2002-01-19,A,556405,273407,829812,offpeak,8298.12
2002-01-20,U,374069,180903,554972,offpeak,5549.72
2002-01-21,W,648994,392312,1041306,peak,10413.06
2002-01-22,W,1012565,603877,1616442,peak,16164.42
2002-01-23,W,990484,600427,1590911,peak,15909.11
2002-01-24,W,1007218,605974,1613192,peak,16131.92
2002-01-25,W,1028432,601352,1629784,peak,16297.84
2002-01-26,A,611356,283489,894845,offpeak,8948.45
2002-01-27,U,408878,189116,597994,offpeak,5979.94
2002-01-28,W,1009923,595606,1605529,peak,16055.29
2002-01-29,W,979719,597598,1577317,peak,15773.17
2002-01-30,W,936013,602737,1538750,peak,15387.5
2002-01-31,W,879895,602988,1482883,peak,14828.83
2002-02-01,W,954707,585087,1539794,peak,15397.94
2002-02-02,A,614544,273954,888498,offpeak,8884.98
2002-02-03,U,401958,180019,581977,offpeak,5819.77
2002-02-04,W,988315,576117,1564432,peak,15644.32
2002-02-05,W,997471,596800,1594271,peak,15942.71
2002-02-06,W,1011650,597747,1609397,peak,16093.97
2002-02-07,W,1011915,600731,1612646,peak,16126.46
2002-02-08,W,1027036,594502,1621538,peak,16215.38
2002-02-09,A,650477,296011,946488,offpeak,9464.88
2002-02-10,U,379613,180097,559710,offpeak,5597.1
2002-02-11,W,985014,592118,1577132,peak,15771.32
2002-02-12,W,811567,541814,1353381,peak,13533.81
2002-02-13,W,1019675,612626,1632301,peak,16323.01
2002-02-14,W,1014122,609706,1623828,peak,16238.28
2002-02-15,W,1007654,589737,1597391,peak,15973.91
2002-02-16,A,617307,292835,910142,offpeak,9101.42
2002-02-17,U,423922,209261,633183,offpeak,6331.83
2002-02-18,W,759013,458524,1217537,peak,12175.37
2002-02-19,W,985390,597374,1582764,peak,15827.64
2002-02-20,W,986615,601360,1587975,peak,15879.75
2002-02-21,W,977261,603816,1581077,peak,15810.77
2002-02-22,W,1016162,592329,1608491,peak,16084.91
2002-02-23,A,629609,292764,922373,offpeak,9223.73
2002-02-24,U,421160,199343,620503,offpeak,6205.03
2002-02-25,W,979843,581612,1561455,peak,15614.55
2002-02-26,W,933204,587918,1521122,peak,15211.22
2002-02-27,W,939542,587701,1527243,peak,15272.43
2002-02-28,W,941136,592045,1533181,peak,15331.81
2002-03-01,W,973482,593596,1567078,peak,15670.78
2002-03-02,A,512767,264847,777614,offpeak,7776.14
2002-03-03,U,331715,174890,506605,offpeak,5066.05
2002-03-04,W,726815,493625,1220440,peak,12204.4
2002-03-05,W,978944,588656,1567600,peak,15676.0
2002-03-06,W,1008215,593126,1601341,peak,16013.41
2002-03-07,W,1008102,594952,1603054,peak,16030.54
2002-03-08,W,993813,587766,1581579,peak,15815.79
2002-03-09,A,493346,254471,747817,offpeak,7478.17
2002-03-10,U,361758,180401,542159,offpeak,5421.59
2002-03-11,W,1008613,591093,1599706,peak,15997.06
2002-03-12,W,1021380,612457,1633837,peak,16338.37
2002-03-13,W,1022145,615718,1637863,peak,16378.63
2002-03-14,W,1010579,607626,1618205,peak,16182.05
2002-03-15,W,1005654,591415,1597069,peak,15970.69
2002-03-16,A,615103,342098,957201,offpeak,9572.01
2002-03-17,U,390344,189640,579984,offpeak,5799.84
2002-03-18,W,992913,579486,1572399,peak,15723.99
2002-03-19,W,990801,590290,1581091,peak,15810.91
2002-03-20,W,993245,591401,1584646,peak,15846.46
2002-03-21,W,930667,574802,1505469,peak,15054.69
2002-03-22,W,961386,564876,1526262,peak,15262.62
2002-03-23,A,617210,290118,907328,offpeak,9073.28
2002-03-24,U,370997,190845,561842,offpeak,5618.42
2002-03-25,W,895573,544841,1440414,peak,14404.14
2002-03-26,W,938869,571086,1509955,peak,15099.55
2002-03-27,W,989393,580724,1570117,peak,15701.17
2002-03-28,W,965734,571056,1536790,peak,15367.9
2002-03-29,W,755230,472276,1227506,peak,12275.06
2002-03-30,A,616271,268843,885114,offpeak,8851.14
2002-03-31,U,377026,158135,535161,offpeak,5351.61
2002-04-01,W,971162,566861,1538023,peak,15380.23
2002-04-02,W,970537,585155,1555692,peak,15556.92
2002-04-03,W,1007100,597081,1604181,peak,16041.81
2002-04-04,W,995075,600930,1596005,peak,15960.05
2002-04-05,W,1014222,613919,1628141,peak,16281.41
2002-04-06,A,639707,318104,957811,offpeak,9578.11
2002-04-07,U,355354,180625,535979,offpeak,5359.79
2002-04-08,W,937560,578417,1515977,peak,15159.77
2002-04-09,W,1013106,607047,1620153,peak,16201.53
2002-04-10,W,1020986,618972,1639958,peak,16399.58
2002-04-11,W,1036014,629240,1665254,peak,16652.54
2002-04-12,W,917031,591700,1508731,peak,15087.31
2002-04-13,A,631465,308737,940202,offpeak,9402.02
2002-04-14,U,438900,210876,649776,offpeak,6497.76
2002-04-15,W,926258,586214,1512472,peak,15124.72
2002-04-16,W,899896,599906,1499802,peak,14998.02
2002-04-17,W,892185,593532,1485717,peak,14857.17
2002-04-18,W,896865,594280,1491145,peak,14911.45
2002-04-19,W,905545,591974,1497519,peak,14975.19
2002-04-20,A,574009,300177,874186,offpeak,8741.86
2002-04-21,U,356144,190405,546549,offpeak,5465.49
2002-04-22,W,974101,583247,1557348,peak,15573.48
2002-04-23,W,1021788,620463,1642251,peak,16422.51
2002-04-24,W,918721,602085,1520806,peak,15208.06
2002-04-25,W,1000933,626040,1626973,peak,16269.73
2002-04-26,W,1026348,615024,1641372,peak,16413.72
2002-04-27,A,513069,272746,785815,offpeak,7858.15
2002-04-28,U,365481,201038,566519,offpeak,5665.19
2002-04-29,W,1001321,584792,1586113,peak,15861.13
2002-04-30,W,1000608,604417,1605025,peak,16050.25
2002-05-01,W,1031532,605198,1636730,peak,16367.3
2002-05-02,W,976392,598086,1574478,peak,15744.78
2002-05-03,W,1075694,606513,1682207,peak,16822.07
2002-05-04,A,660227,312131,972358,offpeak,9723.58
2002-05-05,U,443915,207913,651828,offpeak,6518.28
2002-05-06,W,994227,598141,1592368,peak,15923.68
2002-05-07,W,1010608,616111,1626719,peak,16267.19
2002-05-08,W,968509,600435,1568944,peak,15689.44
2002-05-09,W,1009271,614202,1623473,peak,16234.73
2002-05-10,W,1047188,609528,1656716,peak,16567.16
2002-05-11,A,492841,252501,745342,offpeak,7453.42
2002-05-12,U,358446,185931,544377,offpeak,5443.77
2002-05-13,W,975822,570031,1545853,peak,15458.53
2002-05-14,W,1009365,598752,1608117,peak,16081.17
2002-05-15,W,1015551,600667,1616218,peak,16162.18
2002-05-16,W,906240,579727,1485967,peak,14859.67
2002-05-17,W,991682,583205,1574887,peak,15748.87
2002-05-18,A,638862,298727,937589,offpeak,9375.89
2002-05-19,U,419434,204421,623855,offpeak,6238.55
