bus,load_factor
1060500,17241.86
966483,17239.22
1006387,17238.86
1009909,17237.74
1082350,17236.82
948312,17234.13
1056395,17233.7
1056343,17231.42
1072111,17230.86
1035671,17229.56
1015401,17228.68
1084375,17227.94
1087925,17225.9
1058758,17221.44
1049433,17220.6
1068455,17219.82
1046870,17218.21
895184,17217.02
993149,17216.5
972361,17215.98
937537,17215.07
1057646,17214.0
1061706,17210.6
966399,17209.5
875646,17208.8
1010116,17208.78
1065947,17208.03
953173,17207.24
1030345,17206.51
1055580,17205.38
999666,17204.24
1085719,17203.8
1040599,17203.52
1043356,17201.67
1016597,17201.55
1014161,17201.25
1054145,17201.11
1043248,17200.97
985722,17200.51
1022698,17199.3
888806,17198.95
1057421,17197.68
978891,17196.68
1074116,17195.83
1040709,17194.79
1064345,17194.47
1043654,17194.04
1026066,17193.82
1043962,17190.21
1052665,17190.03
1045756,17189.98
1050841,17189.39
919088,17186.17
1063193,17185.82
1000004,17185.49
1083538,17184.88
1045853,17184.56
1019667,17181.35
994675,17181.05
961940,17179.5
1082951,17177.6
1021955,17176.64
1013081,17175.51
996297,17175.03
1079526,17173.68
898541,17172.06
892290,17171.8
1037295,17169.26
925959,17169.16
1073873,17169.13
934382,17169.04
995226,17167.52
973458,17167.22
904869,17166.76
915049,17166.56
1020173,17165.76
1047208,17163.02
966185,17162.18
1068170,17160.73
862529,17159.7
1035778,17158.67
1036185,17157.48
995286,17156.5
1032058,17156.07
1032505,17153.82
1022399,17152.59
1074632,17152.3
1072167,17151.59
892963,17151.53
1065887,17151.49
1050847,17151.18
921022,17151.04
987323,17150.3
953477,17148.34
1063682,17148.12
977325,17147.62
912854,17147.61
1062988,17146.47
989240,17146.46
1063054,17142.82
996198,17139.24
1004429,17138.02
990010,17136.81
1029815,17136.14
1023705,17135.48
958498,17135.18
1064324,17132.98
1019687,17132.42
880748,17131.65
918087,17131.07
1047587,17131.01
874356,17130.81
1005953,17129.37
1046337,17128.59
1043967,17127.71
973648,17126.16
1059298,17125.37
932148,17125.26
897609,17125.06
933346,17124.19
985578,17123.09
966367,17122.59
925094,17121.98
1070019,17120.37
1014632,17119.98
901884,17119.74
1073249,17114.58
991793,17114.49
1014776,17114.33
931681,17113.39
948883,17112.28
1031798,17111.25
892797,17110.27
926402,17109.03
1067413,17108.87
1001257,17106.64
992589,17105.22
898739,17104.6
858745,17103.75
898125,17103.65
1058970,17103.43
1059974,17102.93
894210,17102.24
1045233,17101.79
1006755,17101.2
898644,17100.76
996333,17099.31
1056246,17098.66
1058699,17098.26
963077,17097.7
866812,17096.97
871656,17096.57
909864,17094.7
911664,17093.94
1039411,17093.73
1077011,17093.41
1063833,17093.27
1069361,17091.56
1023621,17091.09
965671,17090.76
957566,17089.94
1064546,17089.9
1060057,17089.5
893284,17089.13
910818,17087.17
1059836,17087.15
1058738,17087.01
990561,17087.0
937056,17086.81
1064605,17083.23
1068268,17083.19
1024746,17082.33
997931,17081.78
1006956,17081.42
939583,17078.01
912634,17077.27
1064573,17077.22
1082140,17076.64
1018975,17076.56
894949,17075.39
1041474,17075.2
907453,17075.15
1026283,17074.26
1012424,17073.74
1010229,17072.32
868419,17068.93
1022625,17067.63
1015416,17066.83
893122,17066.74
1061512,17066.44
834790,17066.07
946438,17063.98
921476,17062.38
995089,17062.29
969450,17062.18
1072235,17061.07
947151,17060.09
925517,17059.49
1019671,17059.48
908305,17059.02
889166,17058.6
858664,17057.97
909606,17056.86
1065448,17055.54
916281,17055.05
1055157,17053.89
911150,17052.53
1006493,17052.23
911681,17051.65
1053387,17050.97
921204,17049.53
1059762,17048.76
1000963,17048.6
1056369,17046.02
1020516,17045.96
950707,17045.94
934438,17045.19
1051328,17044.55
1061872,17043.15
1051063,17042.11
898177,17039.89
1029219,17038.64
922226,17037.55
919157,17036.19
1041390,17034.39
1021173,17032.18
1042810,17031.91
906586,17029.59
960885,17028.84
982880,17027.7
893671,17025.72
994224,17025.55
1013059,17024.71
939807,17023.92
1059316,17023.59
1026517,17023.21
940176,17022.88
882601,17022.36
940266,17021.9
1038163,17021.43
895104,17021.2
980735,17020.8
989267,17017.74
1050587,17017.52
1071206,17016.59
1039976,17016.43
1053169,17016.29
947943,17015.08
986650,17014.94
865443,17014.4
1075369,17013.6
904861,17011.05
1070403,17009.77
942997,17009.72
1037669,17009.4
1030470,17009.1
1022254,17008.89
1005068,17008.23
991875,17007.76
988033,17007.66
1036156,17006.01
1067496,17004.92
1055377,17004.49
1046900,17004.18
879349,17003.37
1026992,17001.19
918812,17001.12
928929,17000.56
984399,17000.11
958166,16999.68
933388,16998.99
1065048,16998.4
991030,16996.68
952845,16993.77
1032445,16992.07
1020694,16991.55
953514,16990.41
1015815,16990.31
1060943,16990.09
1048329,16989.51
974707,16988.91
906715,16987.35
925655,16984.76
972916,16984.27
1043814,16980.98
1053246,16980.12
1008809,16978.36
982329,16978.02
1041490,16976.59
925494,16975.91
1037717,16975.69
922765,16975.63
1033950,16975.57
996549,16975.21
1050873,16974.51
1049980,16972.76
1069031,16972.14
883298,16971.98
1044085,16971.74
1074370,16971.39
1008349,16971.13
1058349,16970.68
887002,16968.8
984043,16968.3
1037561,16968.3
916218,16968.2
1014665,16967.99
1062865,16967.82
1004067,16967.28
1038131,16966.31
908285,16966.04
1014944,16965.96
932779,16963.58
1064598,16962.22
874192,16962.15
999639,16960.62
882871,16960.32
1051684,16959.23
1060059,16959.11
884290,16958.85
990069,16958.69
1061620,16958.49
1058694,16958.13
912926,16955.52
1005290,16954.34
925541,16954.29
994244,16954.25
1014747,16953.8
961287,16953.4
870588,16952.43
1069102,16951.6
1046788,16949.41
1045681,16945.22
983178,16944.37
1002723,16943.72
1028597,16943.66
983474,16943.64
894082,16942.8
1033777,16940.34
1024767,16940.28
1055688,16937.69
926827,16936.29
995700,16936.01
1031598,16935.83
985078,16935.69
972756,16934.65
1055515,16933.13
1010968,16932.9
1043138,16932.5
932331,16932.37
1061080,16932.24
1004824,16932.2
1055384,16931.47
927231,16931.41
892551,16930.61
956268,16929.89
1062739,16928.9
881991,16928.84
1047878,16928.28
1047657,16927.69
877873,16926.31
880209,16924.04
1013014,16924.0
1040002,16923.85
926053,16923.69
1031237,16923.34
1028817,16922.96
941751,16921.65
991691,16919.87
1063269,16918.87
1076847,16917.12
1033841,16915.58
930494,16913.54
1050992,16912.7
1058756,16912.69
1040297,16911.31
1062276,16910.95
881438,16910.62
977879,16909.62
1037134,16908.87
1019019,16907.88
1045767,16907.38
1025242,16904.34
884539,16903.78
856253,16903.53
991111,16903.44
919869,16903.3
1057968,16902.24
1040926,16901.81
1034556,16901.7
996782,16901.03
1058244,16900.39
1018966,16899.61
1030738,16898.92
1008704,16898.8
933337,16897.79
876445,16897.38
1052067,16896.7
1052476,16896.57
1007930,16895.44
968530,16895.18
1038006,16893.44
1049394,16892.31
1047904,16892.07
952859,16891.64
994671,16891.63
945821,16891.52
873112,16890.4
935951,16889.46
933971,16889.39
1030451,16889.1
1044587,16888.05
1047624,16887.31
1042714,16886.8
1050697,16886.58
980489,16885.15
918652,16884.03
893970,16883.65
912435,16883.41
969474,16883.05
1040208,16882.48
1034930,16881.89
918971,16881.49
1044582,16880.44
920270,16879.5
889343,16877.03
881603,16876.18
1019140,16875.9
1057697,16875.61
971804,16875.0
1059741,16874.75
1010765,16874.57
1053676,16874.57
989291,16872.7
878697,16871.12
1012720,16870.93
1011430,16870.81
898549,16870.07
1023215,16869.76
1022766,16867.49
899732,16866.51
926781,16866.3
936475,16866.11
1009399,16865.29
1006376,16864.13
913012,16863.95
976022,16863.83
992146,16863.66
933471,16862.15
1006682,16861.9
884662,16859.82
922297,16859.77
1034680,16859.53
1049798,16858.91
1039462,16857.14
910018,16857.13
1039778,16856.64
889769,16855.49
1054294,16855.43
1006033,16853.88
912339,16853.87
947611,16853.31
923401,16852.94
996766,16852.23
1002206,16852.08
891580,16851.7
1067338,16850.13
873693,16849.33
1025351,16848.29
930172,16846.51
1033037,16846.43
886599,16845.76
1032855,16845.59
921741,16843.82
1054844,16843.12
902888,16841.89
963575,16840.79
950944,16838.93
986388,16838.29
1003064,16836.99
933666,16836.66
983231,16835.05
1044192,16833.31
1018763,16832.01
1049585,16831.8
1012046,16831.0
865500,16830.96
1044478,16829.26
1039162,16829.25
972352,16829.11
917123,16828.49
1048696,16827.61
1036100,16826.98
928476,16823.77
1050001,16823.61
936301,16822.16
1075694,16822.07
1036205,16820.85
887017,16820.72
890736,16820.53
1041145,16818.54
870996,16814.38
880013,16813.04
890058,16812.71
913171,16812.13
1001595,16810.87
1028258,16808.79
977200,16808.3
987008,16807.6
968000,16806.73
946374,16805.8
1026257,16801.92
882599,16801.84
997460,16801.16
898889,16799.73
1055418,16797.8
994412,16797.58
861007,16797.44
1044868,16797.02
1059027,16796.87
954947,16796.73
901406,16796.33
1057373,16796.17
1031966,16795.84
1038608,16794.92
1011001,16794.81
882592,16794.14
1005055,16794.06
1025937,16793.34
1042442,16793.1
928771,16791.4
1025296,16791.23
1048978,16788.66
1023379,16788.12
1019568,16787.52
1030255,16784.94
881225,16784.6
1042750,16784.44
960903,16783.69
960396,16783.48
959757,16782.83
1012230,16782.7
1036398,16782.25
1018534,16780.39
860410,16779.79
1036702,16779.68
999878,16779.17
913448,16779.05
876768,16778.91
1009046,16778.57
1034149,16777.53
1026441,16776.87
905477,16775.59
968906,16775.56
1052157,16775.38
872176,16775.38
863211,16774.75
873275,16774.31
1043125,16773.27
914038,16773.15
981925,16773.06
1045953,16772.22
1045640,16771.94
948286,16771.81
1035412,16770.88
1034023,16769.62
996746,16769.52
944696,16769.07
1013971,16767.83
889641,16767.53
1050387,16767.39
985527,16767.38
1036745,16767.38
1045666,16767.34
1033341,16767.03
975403,16766.27
858960,16765.55
879791,16765.05
1002646,16764.67
1040502,16763.11
1015390,16762.89
908654,16761.46
890982,16760.4
922487,16758.92
1030300,16758.9
873365,16757.65
1023957,16757.55
1018388,16755.58
1008989,16755.21
998899,16755.08
1060084,16754.26
1041758,16753.88
1026962,16752.28
841332,16750.62
1012560,16750.53
1023752,16749.82
961814,16748.62
1025978,16748.42
904654,16748.39
1015116,16748.23
882052,16746.13
1044685,16744.69
1033982,16743.78
980261,16742.98
993279,16742.6
1020222,16742.56
1022970,16742.0
1045824,16740.95
951984,16740.56
954409,16740.38
1039134,16739.89
866716,16739.04
1062234,16738.12
897959,16737.8
980388,16737.36
1045626,16737.05
990574,16735.95
1050834,16735.87
1044468,16734.6
879565,16732.53
1053813,16731.56
858568,16731.1
960123,16731.04
1025128,16730.65
1047634,16729.82
1042694,16729.61
851720,16728.78
978212,16728.72
992006,16728.43
961177,16727.54
952867,16726.61
997830,16726.4
851071,16725.55
875619,16724.89
988825,16724.5
1036465,16724.239999999998
884989,16723.97
880506,16723.76
1047045,16722.91
1001892,16722.91
960037,16722.13
869966,16721.85
958406,16720.3
958191,16719.89
1044661,16717.48
1036601,16716.08
1042359,16716.02
1028849,16715.52
910863,16712.97
1057275,16712.68
1035982,16712.06
1007282,16711.94
1022417,16709.78
1029256,16708.98
908842,16708.33
987926,16707.69
1023301,16707.66
997379,16707.63
961489,16707.33
885587,16707.08
1021163,16706.77
1009091,16705.94
876000,16705.72
986777,16705.67
1051889,16703.29
886146,16702.85
911402,16701.82
1043033,16701.49
907393,16701.19
1064265,16701.17
1046467,16700.33
1024142,16700.26
1059535,16699.11
982149,16698.78
1054608,16698.76
906712,16698.39
1039517,16697.49
1009515,16697.12
870533,16696.63
986800,16696.24
1041265,16695.79
1006105,16694.53
991055,16693.82
1001116,16693.79
889039,16693.61
1061904,16692.3
1015639,16692.08
1028124,16692.03
1000799,16691.79
867162,16691.34
976842,16691.15
908692,16690.54
955113,16690.31
1045190,16690.29
1005969,16689.05
913930,16688.76
1014276,16688.23
877350,16688.12
888084,16687.71
